fid,id,@id,access,access:roof,addr2:street,addr:city,addr:country,addr:district,addr:full,addr:housename,addr:housenumber,addr:place,addr:postcode,addr:province,addr:rt,addr:rw,addr:street,addr:subdistrict,addr:suburb,air_conditioning,alt_name,amenity,architect,backup_generator,barrier,branch,brand,brand:en,brand:ja,brand:wikidata,brand:wikipedia,building,building:condition,building:floor,building:levels,building:levels:underground,building:material,building:roof,building:structure,building:use,building:walls,capacity:persons,changing_table,check_date,check_date:opening_hours,contact:facebook,contact:instagram,contact:phone,description,ele,email,entrance,evacuation_center,fixme,flood_prone,height,industrial,int_name,internet_access,internet_access:fee,key,kitchen:facilities,landuse,layer,level,name,name:en,name:id,name:ja,name:ko,old_name,opening_hours,opening_hours:covid19,operator,operator:type,outdoor_seating,payment:alipay,payment:atome,payment:cash,payment:coins,payment:contactless,payment:credit_cards,payment:dana,payment:debit_cards,payment:gpn_debit,payment:gpn_qris,payment:gpn_qris:ovo,payment:jcb,payment:maestro,payment:mastercard,payment:mastercard_debit,payment:notes,payment:ovo,payment:qris,payment:shopeepay,payment:shopeepay:gpn_qris,payment:visa,payment:visa_contactless,payment:visa_debit,payment:visa_electron,phone,ref:vatin,roof:shape,shelter_type,shop,short_name,smoking,source,start_date,supermarket,toilet:facilities,toilets,toilets:access,toilets:number,toilets:wheelchair,type,water_source,website,wheelchair,wikidata,wikimedia_commons,wikipedia,wikipedia:en,year_of_construction,@geometry,good
1,relation/9165414,relation/9165414,,,,DKI Jakarta,,,,Istana Pasar Baru,58-64,,"12150",,,,Jalan Pintu Air Raya,,,,,,,,,,,,,,,yes,,,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,Istana Pasar Baru,,,,,,,,PT. Parca Permata Istana Pasar Baru,,,,,,,,,,,,,,,,,,,,,,,,,,,+62 21 380 6511,,,,mall,,,,,,,,,,,multipolygon,,,,,,,,,center,Keterjangkauan Buruk
2,relation/17448024,relation/17448024,,,,DKI Jakarta,,,,Epiwalk Rasuna Epicentrum,,,"12940",,,,Jalan Hajjah R. Rasuna Said,Kuningan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,retail,,,Epiwalk Rasuna Epicentrum,,,,,,,,PT. Bakrie Swasakti Utama,,,,,,,,,,,,,,,,,,,,,,,,,,,"+62 21 2994 1199, +62 21 2994 1198",,,,mall,,,HOT_InAWARESurvey_2017,,,,,,,,multipolygon,,,,,,,,,center,Keterjangkauan Baik
3,way/34334670,way/34334670,,,,DKI Jakarta,,,,WTC Mangga Dua,,,,,,,"Jl. Mangga Dua Raya No. 8, Jakarta Utara",,,,,,,,,,,,,,,retail,,,"15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WTC Mangga Dua,,,,,,,,PT. Marga Sadhya Swasti,,,,,,,,,,,,,,,,,,,,,,,,,,,"+62 21 3001 8888, +62 21 3001 8887",,,,mall,,,,2003-09-06,,,,,,,,,www.wtcm2.com,,,,,,,center,Keterjangkauan Baik
4,way/48036723,way/48036723,,,,DKI Jakarta,,,,Senayan City,,,,,,,"Jl. Asia Afrika Lot 19, Senayan Jakarta Pusat",,,,"Senci;Sencity;Sency;Sencit;Sen C",,,,,,,,,,,yes,,,"7","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Senayan City,,,,,,Mo-Su 10:00-22:00,,Agung Podomoro Land,,,,,,,,,,,,,,,,,,,,,,,,,,,"+62 21 7237 979, +62 21 7233 399",,,,mall,,,,2006-09-21,,,,,,,,,,,Q3074946,Category:Senayan City,en:Senayan City,Senayan City,,center,Keterjangkauan Baik
5,way/83489551,way/83489551,,,,Jakarta Selatan,,,,Pondok Indah Mall,,,"12310",,,,Jalan Pondok Indah Blok II-B Pondok Indah,,,yes,,,,,,,,,,,,yes,,,"8",,,,,,,,,,,,,,,,,,,,,,,,,,Pondok Indah Mal 1,,,"-1",,Pondok Indah Mall 1,,,,,,,,"PT. Metropolitan Kencana, Tbk",,,,,,,,,,,,,,,,,,,,,,,,,,,"+62 21 7506750;+62 21 7506969",,,,mall,,,,,,,,,,,,,,limited,,,,,,center,Keterjangkauan Baik
6,way/83489722,way/83489722,,,,South Jakarta,,,,,Blok III B,,"12310",,,,Jl. Metro Pondok Indah,,,yes,,,,,,,,,,,,retail,,,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1",,Pondok Indah Mall 2,,,,폰독 인다 몰 2,,Mo-Su 10:00-22:00,,PT. Metropolitan Kentjana Tbk,,,,,,,,,,,,,,,,,,,,,,,,,,,+62 21 7506750,,,,mall,,,,,,,,,,,,,,limited,,,,,,center,Keterjangkauan Baik
7,way/97550317,way/97550317,,,,,,,,,"11",,"10310",,,,Jalan M.H. Thamrin,,,,,,,,,,,,,,,yes,,,"15",,,,,,,,,,,,,,,,,,,,,,,Sarinah Department Store,,,,,,,,Sarinah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,"1967",,,,,,yes,,,,yes,Q12512232,Category:Sarinah,en:Sarinah,,,center,Keterjangkauan Baik
8,way/99362081,way/99362081,,,,Jakarta Utara,,,,Artha Gading Mall,"1",,"14240",,,,"Jalan Boulevard Artha Gading Selatan, Kelapa Gading",,,,,,,,,,,,,,,yes,,,"8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Artha Gading Mall,,,,,,Mo-Su 10:00-22:00,,PT. Swadaya Panduartha,,,,,,,,,,,,,,,,,,,,,,,,,,,"+62 21 4585 8180, +62 21 4585 8182",,,,mall,,,,,,,,,,,,,https://www.arthagading.com/,,,,,,,center,Keterjangkauan Baik
9,way/99362082,way/99362082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mall Artha Gading 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,,,,,,,,,,,,,,,,,center,Keterjangkauan Buruk
10,way/99491651,way/99491651,,yes,,DKI Jakarta,,,Jalan Yos Sudarso,ITC Cempaka Mas,Kav. 1,,"10640",,,,Jalan Letjen Suprapto,,,,,,,yes,,,,,,,,mall,good,ceramics,"13",,,concrete,steel_frame,commercial,concrete,>500,,,,,,,,,,,,,,,,,,,,,,"1",,ITC Cempaka Mas,Itc cempaka mas,,,,,,,PT. Duta Pertiwi Tbk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,2003-01-26,,,,,,,,,,,,,,,,center,Keterjangkauan Baik
11,way/118879679,way/118879679,,no,,,,,Jalan Radin Inten II,Plaza Buaran,,,"13470",,,,Jl. Raden Inten II (Buaran Indah Raya),,,,,,,,,,,,,,,mall,good,ceramics,"3",,,concrete,confined_masonry,,glass,250-500,,,,,,,,,,,,,,,,,,,,,,,,Buaran Plaza,,,,,,,,PT. Tri Reka Handayani,,,,,,,,,,,,,,,,,,,,,,,,,,,"+62 21 86603438;+62 21 8660336",,,,mall,,,,2008-02-02,,,,,,,,,,no,,,,,,center,Keterjangkauan Baik
12,way/119425546,way/119425546,,yes,,DKI Jakarta,,Pasar Rebo,Jalan Raya Bogor,Mall Cijantung,,,"13770",,,,Jalan Pendidikan I,Cijantung,,,,,,yes,,,,,,,,retail,good,ceramics,"3",,,concrete,steel_frame,commercial,concrete,250-500,,,,,,,,,,,,,,,,,,,,,,,,Mall Graha Cijantung,,,,,,,,PT. Kobame Propertindo,,,,,,,,,,,,,,,,,,,,,,,,,,,"+62 21 87798888;+62 21 87793448",,,,mall,,,HOT_InAWARESurvey_2017,1998-04-17,,,,,,,,,,,Q64560714,Category:Mall Cijantung,,,,center,Keterjangkauan Baik
13,way/119451364,way/119451364,,,,DKI Jakarta,,,"Jalan Raya Bogor KM 19, Kramat Jati",Lippo Plaza Kramatjati,,,"13510",,,,Jalan Raya Bogor,,,yes,,,,,,,,,,,,yes,,,"5",,,concrete,reinforced_masonry,commercial,brick,,,,,,,+62 021 8095673,,,,,,,,,,,,,,,,,,Lippo Plaza Kramatjati,,,,,,Mo-Su 10:00-22:00,,PT. Lippo Karawaci Tbk,,,,,,,,,,,,,,,,,,,,,,,,,,,+62 021 8095558,,,,mall,,,,,,,,,,,,,,,Q12492501,,id:Lippo Plaza Kramat Jati,,,center,Keterjangkauan Baik
14,way/119451617,way/119451617,,,,Jakarta Timur,,Cililitan,,Pusat Grosir Cililitan,"76",,,DKI Jakarta,,,Jalan Mayor Jenderal Sutoyo,,,,,,,,,,,,,,,retail,,,"10",,,concrete,reinforced_masonry,commercial,brick,,,,,,,,,,,,,,,,,,,,,,,,,Pusat Grosir Cililitan,,,,,,,,PT. Prima Graha Citra,,,,,,,,,,,,,,,,,,,,,,,,,,,"+62 21 30016222;+62 21 3004754",,,,mall,,,,"2005",,,,,,,,,,,,,,,,center,Keterjangkauan Baik
15,way/119451739,way/119451739,,,,Jakarta Selatan,,,,Plaza Kalibata,,,,,,,Jalan Raya Kalibata,,,,,,,,,,,,,,,yes,,,"4",,,concrete,reinforced_masonry,commercial,brick,,,,,,,,,,,,,,,,,,,,,,,,,Plaza Kalibata,,,,,,,,PT. Tribandhawa Bina Sarana,,,,,,,,,,,,,,,,,,,,,,,,,,,"+62 21 7992017;+62 21 7970326",,,,mall,,,,,,,,,,,,,,,,,,,,center,Keterjangkauan Baik
16,way/119540859,way/119540859,,,,Jakarta Selatan,,,"Jl. Sultan Iskandar Muda, Gandaria",GANDARIA CITY,,,,,,,Jalan Sultan Iskandar Muda,,,yes,,,,,,,,,,,,yes,,,"5",,,concrete,reinforced_masonry,commercial,brick,,,2023/10/11,,,,,,,customercare@gandariacity.co.id,,,,,,,,,,,,,,,Gandaria City,,,,간다리아 시티,,Mo-Su 10:00-22:00,,Pakuwon Jati,,,,,,,,,,,,,,,,,,,,,,,,,,,"+62 21 7399 088, +62 21 7396 077",,,,mall,,,,2010-08-05,,,yes,,,,,,https://gandariacity.co.id/,limited,,,,,,center,Keterjangkauan Baik
17,way/119742886,way/119742886,,,,Jakarta Selatan,,,,Plaza Semanggi,Kav. 50,,"12930",DKI Jakarta,,,Jalan Jenderal Sudirman,,,yes,,,,,,,,,,,,yes,,,"7",,,concrete,reinforced_masonry,commercial,brick,,,,,,,,,"5",,,,,,,,,,,,,,,,Plaza Semanggi,,,,,,Mo-Su 10:00-22:00,,PT. Lippo Karawaci Tbk,,,,,,,,,,,,,,,,,,,,,,,,,,,"+62 21 5275 878, +62 21 2553 6408",,,,mall,,,,2004-03-13,,,,,,,,,www.theplazasemanggi.com,,Q19730953,,en:The Plaza Semanggi,,,center,Keterjangkauan Baik
18,way/119772912,way/119772912,,,,Jakarta Pusat,,,,Plaza Senayan,"8",,"10270",,,,Jalan Asia Afrika,,,,,,,,,,,,,,,yes,,,"3",,,concrete,reinforced_masonry,commercial,brick,,,,,,,,,,,,,,,"19.4",,,,,,,,,,Plaza Senayan,,,,플라자 스나얀,,Mo-Su 10:00-22:00,,PT. Senayan Trikarya Sempana,,,,,,,,,,,,,,,,,,,,,,,,,,,"+62 21 5725 555, +62 21 5725 008",,,,mall,,,,,,,yes,,,,,,https://plaza-senayan.com,,Q7203647,Category:Plaza Senayan,id:Plaza Senayan,Plaza Senayan,,center,Keterjangkauan Baik
19,way/119772917,way/119772917,,,,DKI Jakarta,,,,,Kav 9,,"10270",,,,Jalan Jend. Sudirman,,,,,,Kajima Corporation,,,,,,,,,yes,,,,,,concrete,reinforced_masonry,commercial,brick,,,,,,,,,,,,,,,,,,,,,,,,,Ratu Plaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,"1980",,,,,,,,,,,Q7296055,,en:Ratu Plaza,Ratu Plaza,,center,Keterjangkauan Baik
20,way/119772918,way/119772918,,,,Jakarta Pusat,,,,FX Sudirman,,,"10270",,,,Jalan Jendral Sudirman,,,,,,,,,,,,,,,yes,,,"9",,glass,concrete,reinforced_masonry,commercial,brick,,,,,,,,,,,,,,,,,,,,,,,,,FX Mall,,,,,,Mo-Su 10:00-22:00,,PT. Plaza Lifestyle Prima,,,,,,,,,,,,,,,,,,,,,,,,,,,"+62 21 3003 0888, +62 21 3003 0800",,,,mall,,,,"2008",,,,,,,,,https://www.fx.co.id/,yes,,,,,,center,Keterjangkauan Baik
21,way/119772927,way/119772927,,,,"RT.1/RW.3, Gelora, South Jakarta",,,,,No.1,,"10270",,,,Jl. Asia Afrika,,,,,,,,,,,,,,,yes,,,"7",,,concrete,reinforced_masonry,commercial,brick,,,,,,,,,,,,,,,,,,,,,,,,,STC Senayan,,,,,,"Mo-Su,PH 09:00-20:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,,,,yes,,,,,,,,,,,,,center,Keterjangkauan Baik
22,way/119773145,way/119773145,,,,South Jakarta,,,,,,,"10270",,,,"Jl. New Delhi - Pintu I Senayan, Tanah Abang",,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Plaza Senayan Arcadia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,,,,,,,,,,https://www.plaza-senayan.com/arcadia/,,,,,,,center,Keterjangkauan Baik
23,way/119779743,way/119779743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cityplaza Jatinegara,,,,,,Mo-Su 10:00-22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mall,,,,,,,,,,,,,,,,,,,,center,Keterjangkauan Baik
24,way/119784336,way/119784336,,,,DKI Jakarta,,,,Plaza Kenari Mas,"101",,"10440",,,,Jalan Kramat Raya,,,,,,,,,,,,,,,yes,,,"9",,,concrete,reinforced_masonry,commercial,brick,,,,,,,,,,,,,,,,,,,,,,,,,Plaza Kenari Mas,,,,,,,,PT. Caturmas Karsaudara,,,,,,,,,,,,,,,,,,,,,,,,,,,"+62 21 3984 2777, +62 21 3150 642",,,,mall,,,,,,,,,,,,,www.plazakenarimas.com,,,,,,,center,Keterjangkauan Baik
